sr,date,academic_year,session,alloted_category,voucher_type,voucher_no,roll_no,admno_uniqueid,status,fee_category,faculty,program,department,batch,receipt_no,fee_head,due_amount,paid_amount,concession_amount,scholarship_amount,reverse_concession_amount,write_off_amount,adjusted_amount,refund_amount,fund_trancfer_amount,remarks
1,2024-01-15,2023-2024,Spring,General,Payment,V001,R001,ADM001,Active,Regular,Engineering,B.Tech,Computer Science,2023,RCP001,Tuition Fee,50000.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Payment completed
2,2024-01-16,2023-2024,Spring,SC/ST,Payment,V002,R002,ADM002,Active,Regular,Engineering,B.Tech,Mechanical Engineering,2023,RCP002,Tuition Fee,50000.00,25000.00,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,Concession applied for SC/ST category
3,2024-01-17,2023-2024,Spring,General,Payment,V003,R003,ADM003,Active,Regular,Science,M.Sc,Physics,2023,RCP003,Lab Fee,10000.00,10000.00,0.00,5000.00,0.00,0.00,0.00,0.00,0.00,Scholarship received
4,2024-01-18,2023-2024,Spring,OBC,Payment,V004,R004,ADM004,Active,Regular,Arts,B.A,English,2023,RCP004,Library Fee,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Full payment
5,2024-01-19,2023-2024,Spring,General,Payment,V005,R005,ADM005,Active,Regular,Commerce,B.Com,Accounting,2023,RCP005,Examination Fee,3000.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Exam fee paid
6,2024-01-20,2023-2024,Spring,EWS,Payment,V006,R006,ADM006,Active,Regular,Engineering,B.Tech,Electrical Engineering,2023,RCP006,Tuition Fee,50000.00,40000.00,10000.00,0.00,0.00,0.00,0.00,0.00,0.00,EWS concession
7,2024-01-21,2023-2024,Spring,General,Payment,V007,R007,ADM007,Active,Regular,Engineering,B.Tech,Civil Engineering,2023,RCP007,Development Fee,15000.00,15000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Infrastructure development fee
8,2024-01-22,2023-2024,Spring,SC/ST,Payment,V008,R008,ADM008,Active,Regular,Medicine,MBBS,General Medicine,2023,RCP008,Tuition Fee,100000.00,50000.00,50000.00,0.00,0.00,0.00,0.00,0.00,0.00,50% concession for SC/ST
9,2024-01-23,2023-2024,Spring,General,Payment,V009,R009,ADM009,Active,Regular,Law,LLB,Corporate Law,2023,RCP009,Tuition Fee,45000.00,45000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Regular payment
10,2024-01-24,2023-2024,Spring,General,Payment,V010,R010,ADM010,Active,Regular,Management,MBA,Finance,2023,RCP010,Tuition Fee,80000.00,80000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MBA fee payment
